state,year,net in,net out,net total
Alabama,2010,0.022988221398880942,0.021080168206234286,0.0019080531926466554
Alaska,2010,0.051674741882345575,0.1253201094228303,-0.07364536754048473
Arizona,2010,0.03517014470408443,0.028293015689940765,0.006877129014143665
Arkansas,2010,0.027395661952481457,0.022430190986807638,0.004965470965673818
California,2010,0.012050239546295471,0.015607044046718135,-0.0035568045004226636
Colorado,2010,0.03736144773956084,0.028650761439522485,0.008710686300038357
Connecticut,2010,0.021838410503266455,0.025292909211023135,-0.00345449870775668
Delaware,2010,0.0345679761567612,0.033972121497101826,0.0005958546596593756
District of Columbia,2010,0.08587223731330028,0.09428522407290907,-0.00841298675960879
Florida,2010,0.02589550397906433,0.023200690229928968,0.002694813749135362
Georgia,2010,0.02601990542217742,0.025683332618719315,0.00033657280345810586
Hawaii,2010,0.03979947618389718,0.03717076817926071,0.002628708004636472
Idaho,2010,0.035873103683057087,0.034444480466850384,0.0014286232162067022
Illinois,2010,0.016084934802698334,0.021870466616808314,-0.005785531814109981
Indiana,2010,0.019852804315977492,0.02035728545130477,-0.0005044811353272782
Iowa,2010,0.02408089071118231,0.022338741604028597,0.0017421491071537148
Kansas,2010,0.03369818220748458,0.032337069219750214,0.0013611129877343642
Kentucky,2010,0.027566430412236168,0.021876223934963406,0.005690206477272763
Louisiana,2010,0.021833024833786064,0.01975228898035148,0.0020807358534345836
Maine,2010,0.021126385377296025,0.024480058127692435,-0.00335367275039641
Maryland,2010,0.02877211579585379,0.028213064350409132,0.0005590514454446582
Massachusetts,2010,0.021599106214123358,0.022403241563427725,-0.0008041353493043676
Michigan,2010,0.011897919377611046,0.01822119084199249,-0.006323271464381445
Minnesota,2010,0.01713722594777982,0.02001876048207063,-0.002881534534290811
Mississippi,2010,0.024672594557639323,0.023417134863213077,0.0012554596944262461
Missouri,2010,0.02452786403592182,0.02507833220579223,-0.0005504681698704078
Montana,2010,0.036412616363500724,0.036777258182094076,-0.0003646418185933517
Nebraska,2010,0.028451814142920303,0.02435063663732873,0.004101177505591573
Nevada,2010,0.03849380886898076,0.04117640417300194,-0.002682595304021179
New Hampshire,2010,0.030192542939644827,0.029583865895308908,0.0006086770443359188
New Jersey,2010,0.014623419032040775,0.02224468928857637,-0.007621270256535594
New Mexico,2010,0.036088860821681654,0.02513040276505181,0.010958458056629844
New York,2010,0.014053212000302942,0.01899373415310224,-0.0049405221527992985
North Carolina,2010,0.02787842846553002,0.02218907244050215,0.005689356025027872
North Dakota,2010,0.045218687185835285,0.03724908286511719,0.007969604320718096
Ohio,2010,0.015136472706379364,0.016511717546904305,-0.0013752448405249407
Oklahoma,2010,0.02866077329274777,0.02459092244996319,0.0040698508427845816
Oregon,2010,0.03075902844696163,0.026666776685808222,0.004092251761153409
Pennsylvania,2010,0.018730190406641038,0.016782073248738545,0.0019481171579024924
Rhode Island,2010,0.030759709855695424,0.02434345464728922,0.006416255208406205
South Carolina,2010,0.03330297402520514,0.0259740116282024,0.007328962397002741
South Dakota,2010,0.03199663363190403,0.034646331882444495,-0.0026496982505404623
Tennessee,2010,0.02543139850885908,0.02292365806073236,0.002507740448126721
Texas,2010,0.01954120785611514,0.016697981729051445,0.0028432261270636937
Utah,2010,0.028552926803481857,0.02793069699736041,0.0006222298061214458
Vermont,2010,0.03637446860726262,0.030013700486783684,0.006360768120478939
Virginia,2010,0.032721526640593544,0.029536323189773186,0.0031852034508203578
Washington,2010,0.028790685811417884,0.02525999267262282,0.0035306931387950637
West Virginia,2010,0.02160253281229974,0.02681075407385032,-0.005208221261550582
Wisconsin,2010,0.016550196720868347,0.019769403169822265,-0.003219206448953918
Wyoming,2010,0.05035604376663064,0.050780553278503934,-0.0004245095118732972
Alabama,2011,0.02480908389350424,0.022630590559548056,0.0021784933339561822
Alaska,2011,0.049277910899739034,0.11675626521872252,-0.0674783543189835
Arizona,2011,0.034812015242644795,0.03336905243145604,0.001442962811188754
Arkansas,2011,0.02402952970998737,0.0265856238787966,-0.0025560941688092323
California,2011,0.012584478741696124,0.01517925114276337,-0.002594772401067246
Colorado,2011,0.04003689850514307,0.03230617361820375,0.007730724886939315
Connecticut,2011,0.020148974248640403,0.025733762459572103,-0.0055847882109316994
Delaware,2011,0.037798140187051306,0.030084692629131687,0.0077134475579196185
District of Columbia,2011,0.07858955409347164,0.0820781964318133,-0.0034886423383416604
Florida,2011,0.02643121153641857,0.023463067438568717,0.002968144097849852
Georgia,2011,0.02794648870669151,0.02583542502508629,0.00211106368160522
Hawaii,2011,0.0423786608690785,0.046030996979076484,-0.003652336109997982
Idaho,2011,0.038685924994085165,0.037291195806022075,0.0013947291880630902
Illinois,2011,0.016999305415884795,0.02118275139063777,-0.004183445974752974
Indiana,2011,0.019864986939105864,0.022271258479733307,-0.0024062715406274436
Iowa,2011,0.023253486619295455,0.02468739056640592,-0.0014339039471104632
Kansas,2011,0.02951738857926922,0.03329097435661781,-0.003773585777348591
Kentucky,2011,0.025491990009028572,0.023129970458346548,0.002362019550682024
Louisiana,2011,0.02193984060209413,0.019284019559941405,0.002655821042152725
Maine,2011,0.02570082981654967,0.025723862583368607,-2.3032766818937428e-05
Maryland,2011,0.026736703230911426,0.028816102558443746,-0.00207939932753232
Massachusetts,2011,0.02146259042706764,0.022576573135318904,-0.0011139827082512661
Michigan,2011,0.014248394575211328,0.019089190598052915,-0.004840796022841588
Minnesota,2011,0.019143964683649626,0.019648932775199333,-0.0005049680915497068
Mississippi,2011,0.023279140719689055,0.023367547053090597,-8.840633340154169e-05
Missouri,2011,0.025166995178090016,0.023448409061260587,0.0017185861168294292
Montana,2011,0.033992316701044294,0.031786714041814546,0.002205602659229748
Nebraska,2011,0.028655140039821125,0.029155801816295648,-0.000500661776474523
Nevada,2011,0.04104583653233822,0.04324733823511859,-0.00220150170278037
New Hampshire,2011,0.028337767811052954,0.03312077830040669,-0.004783010489353735
New Jersey,2011,0.016077382077332537,0.024769186563652994,-0.008691804486320457
