,state,year,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income
40,South Carolina,2010,0.007328962397002741,0.300570799,37,0.51444769,0.198088912,0.136763013,0.171977641,0.062767562,0.302881256,17300
41,South Dakota,2010,-0.0026496982505404623,0.269380241,37,0.497773935,0.195073139,0.144707109,0.192083413,0.034894417,0.24381754,21600
42,Tennessee,2010,0.002507740448126721,0.300836399,38,0.513575413,0.195958028,0.135508881,0.161028565,0.055111794,0.302289151,17120
43,Texas,2010,0.0028432261270636937,0.330476198,33,0.504133489,0.215119392,0.103733388,0.169459385,0.043408166,0.263018768,18000
44,Utah,2010,0.0006222298061214458,0.271199859,29,0.496995284,0.242990647,0.090238357,0.173173192,0.045354369,0.22571871,18910
45,Vermont,2010,0.006360768120478939,0.229052975,41,0.507562784,0.180810275,0.146403924,0.243954885,0.048142054,0.256038725,23000
46,Virginia,2010,0.0031852034508203578,0.297934967,37,0.50867462,0.205233346,0.12210427,0.240495216,0.040508725,0.265028599,24000
47,Washington,2010,0.0035306931387950637,0.334201251,37,0.501927349,0.207721526,0.123599302,0.217440414,0.054149487,0.276511099,23000
48,West Virginia,2010,-0.005208221261550582,0.226132204,41,0.507728538,0.182802015,0.161475383,0.128287737,0.039160764,0.37125244,16200
49,Wisconsin,2010,-0.003219206448953918,0.269527207,38,0.503696947,0.193472835,0.136871475,0.184213731,0.04743679,0.250380466,22050
50,Wyoming,2010,-0.0004245095118732972,0.293808242,36,0.492066754,0.207036814,0.124081423,0.169168763,0.031770187,0.254521135,24000
51,Alabama,2011,0.0021784933339561822,0.287406772,38,0.517731545,0.197525787,0.140097111,0.155871648,0.052548337,0.326125295,16300
52,Alaska,2011,-0.0674783543189835,0.331837591,34,0.482208828,0.223955955,0.082037531,0.169346827,0.04303615,0.212868643,29000
53,Arizona,2011,0.001442962811188754,0.356415923,36,0.502215733,0.204264401,0.142204287,0.17747414,0.052047935,0.310245191,18000
54,Arkansas,2011,-0.0025560941688092323,0.313614903,37,0.50538074,0.197957508,0.145808054,0.141277388,0.043506778,0.318301118,16600
55,California,2011,-0.002594772401067246,0.432700177,35,0.502460714,0.219413756,0.116677711,0.20548878,0.06152617,0.283038971,18000
56,Colorado,2011,0.007730724886939315,0.330178495,36,0.498113468,0.215985746,0.112659172,0.254172924,0.049625,0.243360103,23800
