state,year,net in,net out,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income,home_value
Idaho,2014,0.04006836661566655,0.03556257661923281,0.004505789996433737,0.296729692,35,0.500327324,0.200089448,0.143272657,0.165832346,0.025943673,0.293156656,19800,182014.84311998254
Illinois,2014,0.01645974935519504,0.025318447170514735,-0.008858697815319696,0.310854092,37,0.509729997,0.208324082,0.138438875,0.234730501,0.043186953,0.274248132,22300,162034.5176828374
Indiana,2014,0.021461343691956992,0.02109525671529025,0.0003660869766667421,0.28369185,37,0.508089082,0.200659102,0.142765909,0.17209352,0.03520708,0.285727214,20800,120095.20910954902
Iowa,2014,0.025813984416559754,0.025222375419458,0.0005916089971017523,0.246100094,38,0.502714084,0.197105299,0.158303204,0.194677332,0.024406799,0.257914227,24800,131222.5627730624
Kansas,2014,0.03365224950672996,0.03267097424791134,0.000981275258818616,0.301794305,36,0.504217084,0.206604222,0.142944214,0.214581782,0.027604139,0.266142359,22900,123568.29976962767
Kentucky,2014,0.024088884829773793,0.022708456534594915,0.0013804282951788774,0.314392776,38,0.506093296,0.197985615,0.148175455,0.160653202,0.03584537,0.324048926,19000,113513.53757670948
Louisiana,2014,0.0212939792163065,0.018804762212281185,0.0024892170040253167,0.332372406,36,0.511583388,0.217900774,0.136011412,0.158000471,0.035200947,0.311134797,18000,164801.44711241729
Maine,2014,0.02964774847112788,0.024577728330130475,0.005070020140997406,0.251913218,44,0.515924874,0.175199554,0.181725433,0.223063269,0.030028066,0.310288259,22000,185394.08684380763
Maryland,2014,0.026523560643418844,0.03008872536499312,-0.003565164721574275,0.312908408,38,0.51464768,0.205000262,0.136991339,0.271787715,0.038095464,0.256026572,28300,273203.00604498107
Massachusetts,2014,0.02196614874184764,0.023254610882787602,-0.0012884621409399617,0.331253795,39,0.515232733,0.210962035,0.150677172,0.303971976,0.037584976,0.267580108,26000,335644.8349948901
Michigan,2014,0.015311986666746975,0.017740182577414557,-0.0024281959106675823,0.268336731,39,0.508663629,0.194390001,0.154296062,0.195054389,0.040740263,0.314687256,20000,122298.4930463329
Minnesota,2014,0.019828905751093875,0.022592606800855293,-0.0027637010497614176,0.244310928,37,0.504043211,0.205824701,0.142396072,0.241907119,0.026503649,0.239733283,27000,190811.24337785356
Mississippi,2014,0.02499511437765962,0.02460690450548239,0.0003882098721772302,0.31198943,36,0.512777719,0.198651405,0.143003575,0.142156236,0.044729281,0.329061124,15400,117612.28612079336
Missouri,2014,0.025586617257949716,0.025819916188149585,-0.00023329893019986836,0.296683367,38,0.509874268,0.203982163,0.153524423,0.194300108,0.033619858,0.295545922,20800,131483.61610906143
Montana,2014,0.037109415522506614,0.035395471476336836,0.0017139440461697783,0.318172803,39,0.500091346,0.197415148,0.166787322,0.197422964,0.027260231,0.295413446,20100,203348.3694842856
Nebraska,2014,0.02813476227742816,0.023524448956153268,0.004610313321274893,0.294797829,36,0.50084002,0.20556757,0.144241067,0.207895496,0.02004355,0.230846828,25000,138958.34937258638
Nevada,2014,0.046465467166992735,0.03745482600691547,0.009010641160077264,0.452120902,37,0.497386319,0.210658734,0.141662549,0.160577704,0.045763815,0.288758159,21400,194896.83037662253
New Hampshire,2014,0.03148391120644084,0.03161541792983976,-0.0001315067233989206,0.256645812,42,0.506591358,0.182930074,0.157958205,0.260130855,0.030504675,0.261066933,27000,220405.60501905088
New Jersey,2014,0.014582121559495523,0.02355157577512848,-0.008969454215632958,0.334978002,39,0.511108923,0.192414447,0.146628702,0.268228581,0.039654851,0.271555994,25000,300514.27292080835
New Mexico,2014,0.033451785248829115,0.03417236132945997,-0.0007205760806308567,0.312446657,37,0.505899101,0.206609506,0.151501363,0.179008924,0.039791002,0.320393158,17000,168718.46431981973
New York,2014,0.013240889338608435,0.021708066297765602,-0.008467176959157167,0.427916027,38,0.514773936,0.216828764,0.146677337,0.253483108,0.036538373,0.29755887,22000,271980.28119220136
North Carolina,2014,0.029142450198084813,0.02553584520233786,0.003606604995746953,0.337192794,38,0.513479735,0.199028275,0.146925813,0.201564788,0.039987072,0.29995,20000,158521.97923916872
North Dakota,2014,0.053514716238693257,0.03870528480574659,0.01480943143294667,0.303677439,34,0.489974063,0.243854482,0.142378043,0.183176872,0.016024731,0.244306149,27200,210787.7674792524
Ohio,2014,0.017160389924335086,0.01810568744384229,-0.0009452975195072058,0.309883258,39,0.510125397,0.193849181,0.155048364,0.188658638,0.036414617,0.29265847,21360,118360.21644900877
Oklahoma,2014,0.029092663003150013,0.02699355484980388,0.0020991081533461332,0.330603182,36,0.505842239,0.209854383,0.145341307,0.165811383,0.026460199,0.303142481,20000,118298.04544027227
Oregon,2014,0.03488110692420829,0.026639484029382463,0.008241622894825825,0.37575345,39,0.505973066,0.203739876,0.159425667,0.217900484,0.037846084,0.311235419,20100,243832.40568612912
Pennsylvania,2014,0.018416183980120654,0.019991833199125147,-0.0015756492190044935,0.272720341,40,0.510510229,0.196021196,0.166721995,0.211890179,0.035937944,0.305302823,22000,160578.15785353174
Rhode Island,2014,0.031192657041416497,0.03629078233674849,-0.0050981252953319935,0.357529997,39,0.514872917,0.211190013,0.158618539,0.221033897,0.040546906,0.289655819,23000,228028.4563677952
